mt20id,prfnm,prfpdfrom,prfpdto,시설명,총객석수,시(도),구(군),주소
PF256896,양홍원 단독 콘서트: 오보에,2024.08.03,2024.08.04,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256893,"맨스티어 단독공연, AK!",2024.07.14,2024.07.14,예스24 라이브홀 (구. 악스코리아),1051,서울,광진구,서울특별시 광진구 구천면로 20 (광장동)
PF256855,"노을 발렌타인데이 콘서트, Sunset Love: Valentine Special",2025.02.14,2025.02.15,광운대학교 동해문화예술관,2432,서울,노원구,서울특별시 노원구 광운로 20(월계동)
PF256841,"스완 김 재즈 트리오, 더 트리오",2025.01.18,2025.01.18,재즈런치,0,서울,송파구,서울특별시 송파구 송이로23길 14 (가락동)
PF256840,SEVENUS: On Air Night with 희아라,2025.02.08,2025.02.08,GB성암아트홀,187,서울,강남구,서울특별시 강남구 선릉로111길 6 (논현동)
PF256836,김중연의 디너쇼: 신연회,2025.02.09,2025.02.09,그랜드하얏트서울,715,서울,용산구,서울특별시 용산구 소월로 322 (한남동)
PF256831,Weird Strangers #01,2025.01.25,2025.01.25,생기 스튜디오,70,서울,마포구,서울특별시 마포구 와우산로 137 (서교동)
PF256827,블루문 특급 Live with 비비탄,2025.01.25,2025.01.25,스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
PF256824,Subok The 1st Concert: No More Running Away,2025.02.08,2025.02.08,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF256820,LIVE in SETi Vol.2,2025.01.12,2025.01.12,세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
PF256817,Kawaii Festival Vol.21,2025.01.18,2025.01.18,웨스트브릿지 라이브홀,160,서울,마포구,서울특별시 마포구 와우산로25길 6 (서교동)
PF256816,High-Five! 25: 유다빈밴드 X 원위 (ONEWE),2025.01.25,2025.01.25,은평문화예술회관,1051,서울,은평구,서울특별시 은평구 녹번로 16 (녹번동)
PF256815,"Memoria 2nd Release Event, D-DAY: WALPURGIS NIGHT",2025.02.09,2025.02.09,프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
