mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,area,genrenm,openrun,prfstate
PF242020,유미 단독 콘서트: 다섯번째 계절,2024.06.29,2024.06.29,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242020_240530_110836.gif,,대중음악,N,공연완료
PF242012,"두아 리파 내한공연, DUA LIPA: Radical Optimism Tour",2024.12.04,2024.12.05,고척스카이돔,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242012_240620_110107.gif,,대중음악,N,공연완료
PF241992,Kawaii Festival Vol.14,2024.06.30,2024.06.30,KT&G 상상마당 라이브홀 [마포],http://www.kopis.or.kr/upload/pfmPoster/PF_PF241992_240530_092706.png,,대중음악,N,공연완료
PF241990,EMOTIONAL ORANGES LIVE IN SEOUL,2024.08.28,2024.08.28,예스24 라이브홀 (구. 악스코리아),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241990_240530_092051.jpg,,대중음악,N,공연완료
PF241978,"롤링 29주년 기념 공연, 이바다 단독 콘서트: Flower",2024.06.30,2024.06.30,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241978_240529_163009.jfif,,대중음악,N,공연완료
PF241972,"XG 첫 월드 투어, THE FIRST HOWL [서울]",2024.07.11,2024.07.11,예스24 라이브홀 (구. 악스코리아),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241972_240529_154800.jpg,,대중음악,N,공연완료
PF241941,사샤 알렉스 슬론 내한공연: Me Again,2024.09.01,2024.09.01,명화라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241941_240529_131313.gif,,대중음악,N,공연완료
PF241937,eaJ Live in Seoul: when the rain stopped following me,2024.09.13,2024.09.14,예스24 라이브홀 (구. 악스코리아),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241937_240529_125943.jpg,,대중음악,N,공연완료
PF241934,a子 Ⅹ dosii Live [서울],2024.06.17,2024.06.17,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241934_240529_124023.jpg,,대중음악,N,공연완료
PF241929,"Another Nice Day: 김결, siso시소, 윤토벤",2024.06.20,2024.06.20,엠피엠지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241929_240529_113818.gif,,대중음악,N,공연완료
